bio6,bio11,bio12,bio13,bio2,bio3,bio4,bio5,bio14,bio15,label,fold,decimalLongitude,decimalLatitude
-2.6535,1.8468332,1423.0,214.0,7.5211043,26.570473,759.0286,25.65275,25.0,60.518116,1,1,109.02,30.35
-2.3405,2.62275,1640.0,265.0,7.538334,25.165318,822.96344,27.61475,41.0,50.00881,1,0,118.866,30.089
-4.664912,0.4633528,704.0,173.0,7.3270955,22.408222,952.7556,28.033333,10.0,93.9617,1,1,120.68763,36.365971
0.095750004,5.1138334,1625.0,283.0,7.8407707,25.183342,859.9601,31.2305,43.0,55.50827,1,2,118.036644,29.80615
4.4645,10.225041,1608.0,260.0,8.813562,31.615894,683.5697,32.3415,40.0,57.086426,1,0,115.705803,25.220076
1.16025,6.5700836,1600.0,273.0,8.516792,28.10637,777.2073,31.46225,34.0,50.62864,1,2,119.543472,28.46352
-10.6895,-2.7295833,542.0,198.0,11.989959,28.91498,1125.3757,30.77675,3.0,137.28893,1,1,116.52,40.03
-2.5295,3.4727082,894.0,185.0,9.307896,27.55874,942.3178,31.24525,22.0,63.068665,1,4,116.787187,32.5825
0.12375,4.8048334,951.0,153.0,6.9827085,22.496744,889.94305,31.1625,31.0,53.896782,1,4,120.580441,31.336317
1.66025,6.6053753,1245.0,179.0,7.6904583,25.193554,837.5057,32.18575,44.0,42.68202,1,2,121.609847,29.945612
-8.988,-1.883625,569.0,204.0,11.2605,27.964066,1110.0591,31.279749,4.0,136.13866,1,1,116.41,39.88
0.81,5.840625,1583.0,234.0,8.151751,27.03216,805.8058,30.96575,46.0,48.243843,1,2,114.164786,27.226597
0.55675,6.006583,1048.0,234.0,8.222709,29.794851,698.79,28.154501,9.0,91.51985,1,4,103.556384,30.907964
-3.89725,2.657,619.0,146.0,10.414375,29.045404,952.91077,31.95825,6.0,81.80293,1,0,112.470828,34.554599
0.80825,5.503625,979.0,154.0,7.171812,23.541733,864.1736,31.2725,40.0,49.57954,1,4,121.29,31.14
-9.31525,-1.9945416,566.0,197.0,11.49173,28.439066,1106.2345,31.093,3.0,134.64966,1,1,116.264703,39.845656
0.461,5.3462086,1390.0,226.0,7.808271,26.14807,807.6211,30.32275,29.0,57.757843,1,3,110.534561,29.347807
-1.26675,3.77225,1017.0,213.0,8.398541,25.434134,939.5369,31.754,29.0,64.831345,1,1,119.36,32.38
1.2045,8.768916,928.0,187.0,11.009292,47.42778,451.25037,24.41725,13.0,83.45911,1,0,102.740493,25.139624
1.815,6.79075,1564.0,287.0,7.8565207,24.825481,871.3786,33.462,40.0,60.540794,1,0,115.799746,28.665492
1.20425,5.7893333,1039.0,161.0,7.0777707,23.58176,852.71454,31.218,40.0,51.559143,1,4,121.548637,31.215693
-3.45425,2.068,724.0,189.0,8.266896,24.554346,963.24713,30.213501,18.0,96.4812,1,4,118.33,34.15
-2.976,3.1466248,784.0,184.0,9.452562,27.395357,959.8318,31.52825,22.0,73.40594,1,4,117.0,33.1
-4.072414,0.89030176,698.0,160.0,7.2244973,22.059534,948.6907,28.677586,12.0,87.510765,1,1,120.39,36.08
-7.44175,-0.71874994,731.0,231.0,10.638646,28.473173,1034.6398,29.922,7.0,110.829765,1,0,117.344864,36.146782
1.58825,9.564083,870.0,155.0,11.545792,48.53365,450.16562,25.3775,14.0,71.86807,1,3,100.32,25.18
1.4145,6.5970416,1813.0,316.0,8.200916,30.652473,667.46436,28.169,40.0,58.7685,1,4,118.97701,26.908368
0.133,4.8335834,1175.0,193.0,7.094604,22.781467,882.7347,31.275,38.0,54.269573,1,4,120.13,30.88
5.6185,8.781,1147.0,191.0,6.271416,22.982954,747.83655,32.90575,19.0,67.8445,1,1,106.517223,29.605372
11.20309,15.36765,2033.0,365.0,6.0608616,30.71674,510.82666,30.934551,25.0,77.97297,1,4,114.12,22.43
0.45675,4.9465,1524.0,245.0,6.9135203,24.211031,786.64185,29.012,47.0,50.568283,1,2,111.079502,26.623179
-0.158,4.989208,1845.0,301.0,7.8515835,28.289406,711.2824,27.5965,39.0,53.92193,1,2,119.52526,27.710443
-1.811,5.5573335,810.0,137.0,10.979042,45.299614,494.59064,22.4255,11.0,61.92854,1,4,100.052678,26.887694
1.4755,6.6063747,1705.0,303.0,7.93875,25.756557,837.0928,32.29775,46.0,58.616558,1,2,117.763896,29.083537
2.017,7.0523334,937.0,230.0,7.6143336,27.687983,724.0063,29.5175,7.0,97.63394,1,3,104.18,30.81
-6.89725,-1.3551667,784.0,146.0,8.366833,29.405027,718.1828,21.5565,5.0,79.34116,1,0,104.760371,32.575728
4.03525,8.633167,1727.0,319.0,7.3030624,26.665678,749.8424,31.42275,47.0,63.442783,1,2,110.423642,25.385914
2.2675,7.26875,931.0,231.0,7.586604,27.690357,720.119,29.6655,7.0,97.97908,1,3,104.010811,30.684917
0.68825,7.9492917,952.0,186.0,10.589708,47.521576,431.38385,22.97225,13.0,82.423584,1,0,102.84,24.83
-6.472,-0.34741673,808.0,224.0,9.082687,26.477243,969.54065,27.83175,9.0,100.27877,1,3,119.390185,35.688567
11.279546,15.239123,2103.0,376.0,5.7420726,29.646439,508.67572,30.648052,26.0,77.6407,1,4,114.21,22.42
2.11675,6.8804584,1432.0,205.0,7.6843543,24.60647,856.21356,33.34575,48.0,46.610638,1,0,113.0,28.0
11.527132,15.634754,1930.0,341.0,6.0662794,30.475506,517.82874,31.432558,25.0,78.140396,1,3,113.98,22.42
-3.4445,1.4058334,820.0,146.0,7.9995832,27.36678,789.67926,25.786499,7.0,72.96095,1,2,107.562611,33.448936
-4.66525,1.3957918,626.0,109.0,9.942041,28.6411,920.75525,30.04725,5.0,69.18616,1,0,108.76,34.06
2.154,7.2455,1022.0,249.0,7.658125,27.9685,716.3833,29.53525,8.0,97.836334,1,3,103.971863,30.551605
5.04875,8.426625,1120.0,192.0,6.388021,23.320753,740.2448,32.44075,19.0,69.67104,1,1,106.296288,29.595803
1.286,5.8724165,1665.0,293.0,7.242812,26.711952,744.9639,28.4005,47.0,59.327175,1,2,110.3,25.7
5.2985,10.361625,1510.0,256.0,8.077708,29.429401,711.4186,32.74625,37.0,61.83603,1,1,113.744519,25.02433
4.13375,8.79475,1809.0,349.0,7.466083,28.109724,716.5144,30.69425,47.0,68.905525,1,4,109.742072,25.140822
-5.50675,0.9595417,604.0,173.0,10.589625,28.865181,1008.8863,31.17975,7.0,100.801384,1,4,115.40625,35.422699
-1.393,3.2174168,857.0,177.0,7.8065834,27.030872,782.8694,27.48725,5.0,82.7648,1,0,106.459387,32.958188
2.73125,7.290125,1405.0,229.0,7.31575,24.849272,806.7042,32.17175,45.0,50.98125,1,4,111.316667,26.466667
-0.84525,4.31175,1283.0,208.0,8.123021,25.531244,874.9028,30.97075,34.0,49.57857,1,1,119.216667,30.8
-1.358,4.019,931.0,200.0,8.070937,29.57579,692.75757,25.931,8.0,87.56641,1,2,103.852083,31.191083
11.22025,15.135375,2405.0,458.0,6.0953956,35.97271,392.23843,28.16475,22.0,87.02501,1,4,120.800362,23.672542
-10.5075,-2.3880415,578.0,228.0,12.034604,29.25316,1114.0461,30.632,1.0,151.36765,1,1,116.23,39.54
9.5645,12.803417,2998.0,433.0,5.3482294,30.79447,431.563,26.932,129.0,43.807285,1,3,121.55,24.766667
0.9515,5.9103336,1537.0,272.0,7.96175,25.209772,867.2781,32.5335,39.0,58.579838,1,0,115.362625,28.861475
-0.0915,5.314375,1106.0,167.0,8.131708,25.461916,892.3067,31.84525,26.0,52.576656,1,4,113.166529,30.663372
-4.40675,1.3921666,691.0,137.0,9.1918335,31.22836,731.47614,25.0275,3.0,83.847,1,0,104.68,32.94
-2.42425,2.82475,1138.0,235.0,8.095354,30.537848,670.36914,24.085,14.0,85.658676,1,3,103.333333,29.5
-2.0455,3.0397084,1345.0,206.0,7.823271,26.512821,789.0416,27.462,26.0,58.6877,1,1,110.871148,30.222233
4.57975,9.272333,1768.0,331.0,7.3859167,26.998516,743.13055,31.9365,47.0,64.69377,1,2,110.351669,25.175621
5.6965,9.731459,2602.0,477.0,6.020729,38.911823,335.65094,21.16925,46.0,71.24286,1,4,120.95,23.583333
0.17,4.5103335,1469.0,227.0,7.2423544,25.17788,781.8084,28.93475,27.0,60.45461,1,4,109.484961,29.990847
-1.0915,3.575,1446.0,224.0,7.5493746,25.981037,786.2656,27.96575,28.0,59.653362,1,3,110.032936,29.887732
-1.26675,3.77225,1017.0,213.0,8.398541,25.434134,939.5369,31.754,29.0,64.831345,1,1,119.416667,32.5
0.5305,5.398375,1288.0,194.0,7.582625,25.12321,822.65497,30.71225,28.0,55.535923,1,3,111.02,29.69
-1.87825,4.1195416,954.0,172.0,9.883479,29.959015,863.49255,31.11175,13.0,66.62644,1,2,110.701804,32.583831
1.091,5.8890834,1430.0,247.0,7.808875,26.134996,803.648,30.97,29.0,60.33126,1,4,109.851254,29.001441
-15.23875,-6.4055834,483.0,116.0,13.523271,30.540014,1137.9409,29.04175,3.0,99.37042,1,2,110.99,37.95
0.3425,4.96775,1541.0,252.0,7.095958,24.89133,779.4092,28.85025,47.0,51.823116,1,4,110.85,26.43
